reviewId,userName,userImage,content,category,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,country
61fa959b-060a-4482-a80b-d9041157b70a,Kareema Keligond,https://play-lh.googleusercontent.com/a-/ALV-UjV_FZIE2P0g7l-iAwWV7__azWFxUoe2gSfviqHv8YKCAVzOmVOQ,"Great customer service, on time delivery, NOT! Prime used to be awesome! It's horrible now. You're no longer able to speak to a human being on the phone when there's a problem. Packages w prime are always late. What's the point of paying for Prime if it's going to take as long as non Prime members to be delivered or longer. Even Prime video sucks. You're paying for the membership, but most movies and shows still require you to pay to watch.",CUSTOMER-SERVICE,1,150,28.6.0.100,2024-03-30 20:46:48,,,28.6.0.100,us
5734b1df-9bed-44f2-9fa0-84ca280b63cb,gia:3 themostokaycomputer,https://play-lh.googleusercontent.com/a-/ALV-UjUtcmfJdsL34SFcPUO5IsIYwTIVsT_PJ1xKlayV_004O8G6Gphupg,"this app is genuinely falling apart. bad search feature, slow, like 30 second load times slow, and just outright refuses to load sometimes, directing me back to the home page of Amazon, when that's what wouldn't load in the first place, outright just crashing. it's a confusing problem to have and just makes the app unusable. like I just don't buy anything on Amazon anymore cause the app doesn't work, and even if it did, delivery sucks, both the time and care of it.",USER-EXPERIENCE,1,97,28.6.0.100,2024-03-29 16:15:50,,,28.6.0.100,us
df422231-ddb0-443e-beb3-946b674c5182,Kelly Kendall,https://play-lh.googleusercontent.com/a/ACg8ocJEJZArKcaTggwe2cd81srM5Jzv_dxHk0ENN9U5IJyS6aSC2g=mo,"It keeps glitching. The app is just one of the many and the least problem with Amazon. I have come to hate this company. I really do not shop here like I used to. One reason is the app itself. I have to open and close it all the time to get it to work, tells you it can not add an item, but you have to check before you buy because the item was added multiple times. Trying to delete items from the cart hardly works without closing and reopening or waiting until the next day.",USER-EXPERIENCE,1,17,28.7.0.100,2024-04-05 22:21:21,,,28.7.0.100,us
68e7cfce-6040-47c5-befb-4651deaf22d5,Scott Pele,https://play-lh.googleusercontent.com/a-/ALV-UjWgtVEsQVayze-Lh2xqLjWYn_9ePH1Nj5SKE2OJx-KkhD9pcOi0Ug,"It's fine, but one of the features we use the most, is painfully hidden away behind unintuitive menu interactions. ""See all shopping lists"" Filtering results hasn't been improved since the caveman era. Finding the right item amongst 5000 results is a hopeless pursuit. Utilizing 3rd party extensions is the only way to filter effectively. Reducing search times from 3 hours, down to 10mins. However they're not available on mobile.",USER-EXPERIENCE,1,111,28.6.0.100,2024-03-27 22:19:41,,,28.6.0.100,us
8f63da9b-49d7-411a-ae6c-c871f78705ff,Kevin Wilder,https://play-lh.googleusercontent.com/a/ACg8ocL6stl-UjBD2EO_TbWCVhMxgVyW3WY3th4kY45tQ4HSFou9MQ=mo,"Serviceable at best, searching has almost always been dismal, but seemingly searching has gotten considerably worse. Putting the search bar on the bottom is a joke, just like the bulk of the development choices they choose to make with this app. At least have a normal consistent format, this change among all the constant useless and unhelpful tweaks are killing this app. Also their customer service has taken a sudden turn for the worse, hanging up and not listening while on call with issue.",USER-EXPERIENCE,1,21,28.6.0.100,2024-03-26 2:00:37,,,28.6.0.100,us
45dd0954-80a1-47fb-9e2b-35fee519a302,Terrapin Flyer,https://play-lh.googleusercontent.com/a-/ALV-UjVK4cJ5HiolEQ_l5aPCnlWeUdKaWXYqdROuISSzriIZivjrMK8,"The Amazon Shopping app is dreadfully slow and resource intensive. I think it has something to do with the ""View in your room"" feature. Though it was still very slow to fully load item listings before this was added. You have to wait like 2 mins for the images of a listing to load and be able to click on them to zoom in on the image. The settings/categories menu is a mess too. Not to mention it is incredibly difficult to view specific categories compared to just menu>category on desktop.",USER-EXPERIENCE,1,244,28.5.2.100,2024-03-20 18:11:06,,,28.5.2.100,us
4de6904c-44bd-4953-9bf0-82e639464bd0,Maria Roque,https://play-lh.googleusercontent.com/a-/ALV-UjU1tLZ59MKLoMwEDLgTvXrrn-hLvdh-HCGnHxBkLyKuBgssPpLw,"It uses to be good, now it crashes and freezes constantly. Cannot play the videos nor click on any photos from the reviews because it stops working and the screen goes black. If searching for something, after a while, it crashes too, making me start all over again after having seen pages of search results already. It has gotten extremely frustrating. For the record, I have the Samsung Galaxy S23 Ultra, which runs with Android. Please fix it!",USER-EXPERIENCE,1,962,28.2.2.100,2024-01-26 15:45:21,,,28.2.2.100,us
553cb77d-ed10-4b33-8761-b7e246ac7dd3,Brad Reese,https://play-lh.googleusercontent.com/a-/ALV-UjVtBT2k4YrPfFdvWM9sDAolDUday5LPR6rkG8E0ADWgxGIMs79g,"I can't use this app, it makes arbitrary changes way too frequently and isn't worth the frustration. Just recently I could finally look at a book, click ""see all formats,"" and it would show me all the different versions of the book available for sale (instead of just 1 default paperback version, 1 default hardcover, etc). Now just a couple weeks later they've removed this feature. I waited years for this app feature, and they gave it to me for...a week or so? This app is a mess.",USER-EXPERIENCE,1,698,28.3.0.100,2024-02-22 22:54:53,,,28.3.0.100,us
ca42a1e5-d5c7-45f6-baf2-6b3f9dd0fa14,Andrea Walsh,https://play-lh.googleusercontent.com/a-/ALV-UjUMwRTThsT9B6ZFeS8JI927gFoI8VeiI3kINJObXwIFcui4raQi,"Initially, I lived with the multiple problems and difficulties experienced with this app because it was convenient. As the quality of Amazon's services decreased, my frustrations with the app increased. Features and functions change so frequently that I find it impossible to shop. I don't have these issues with apps from alternative online retailers - Amazon get it together!!",USER-EXPERIENCE,1,205,28.5.2.100,2024-03-14 11:40:23,,,28.5.2.100,us
dbdc3fdd-9a64-401b-8390-a86df4cf2e00,Aaron Thomas,https://play-lh.googleusercontent.com/a/ACg8ocJtnaM3p997Egnr67HLJzCbQbipqAC4AsF5mTWowpp1pQVoQg=mo,"Even more clutter in the bottom bar, makes me dislike using the app | Still doesn't have dark mode. | I'm clicking the wrong button all the time. Please fix it. | The new update ruins the experience by putting an Inspiration tab right where you would click to go to see your orders. I constantly click it by accident. | Previous version review for a long time: Great redesign, allows for multi tab browsing. And it doesn't freeze like the old version",USER-EXPERIENCE,1,676,28.4.0.100,2024-02-27 22:48:57,,,28.4.0.100,us
